date,url,date_publication,pb95,pb98,diesel,cena_za_barylke_ropy(USD),usd_pln,oil_pln
2026-03-31,https://monitorpolski.gov.pl/MP/2026/342,2026-03-30,6.16,6.76,7.6,118.3499984741211,3.7408,442.7236742919922
2026-04-01,https://monitorpolski.gov.pl/MP/2026/344,2026-03-31,6.21,6.81,7.66,101.16000366210938,3.6972,374.0087655395508
2026-04-02,https://monitorpolski.gov.pl/MP/2026/348,2026-04-01,6.23,6.84,7.65,109.02999877929688,3.7195,405.53708045959473
2026-04-03,https://monitorpolski.gov.pl/MP/2026/352,2026-04-02,6.19,6.8,7.64,109.02999877929688,3.7058,404.04336947631833
2026-04-04,https://monitorpolski.gov.pl/MP/2026/355,2026-04-03,6.21,6.82,7.87,109.02999877929688,3.7058,404.04336947631833
2026-04-05,https://monitorpolski.gov.pl/MP/2026/355,2026-04-03,6.21,6.82,7.87,109.02999877929688,3.7058,404.04336947631833
2026-04-06,https://monitorpolski.gov.pl/MP/2026/355,2026-04-03,6.21,6.82,7.87,109.7699966430664,3.7058,406.78565355987547
2026-04-07,https://monitorpolski.gov.pl/MP/2026/355,2026-04-03,6.21,6.82,7.87,109.2699966430664,3.6888,403.07516361694337
2026-04-08,https://monitorpolski.gov.pl/MP/2026/357,2026-04-07,6.21,6.82,7.87,94.75,3.6489,345.733275
2026-04-09,https://monitorpolski.gov.pl/MP/2026/360,2026-04-08,6.27,6.88,7.83,95.91999816894531,3.6506,350.16554531555175
2026-04-10,https://monitorpolski.gov.pl/MP/2026/363,2026-04-09,6.17,6.77,7.66,95.19999694824219,3.6396,346.48990889282226
2026-04-11,https://monitorpolski.gov.pl/MP/2026/366,2026-04-10,6.14,6.73,7.68,95.19999694824219,3.6396,346.48990889282226
2026-04-12,https://monitorpolski.gov.pl/MP/2026/366,2026-04-10,6.14,6.73,7.68,95.19999694824219,3.6396,346.48990889282226
2026-04-13,https://monitorpolski.gov.pl/MP/2026/366,2026-04-10,6.14,6.73,7.68,99.36000061035156,3.6374,361.41206622009275
2026-04-14,https://monitorpolski.gov.pl/MP/2026/372,2026-04-13,6.12,6.7,7.58,94.79000091552734,3.6015,341.38618829727176
2026-04-15,https://monitorpolski.gov.pl/MP/2026/376,2026-04-14,6.16,6.7,7.41,94.93000030517578,3.5939,341.16892809677125
